epoch,train_accuracy,train_auc,train_f1,train_f1_macro,train_precision,train_sensitivity,train_specificity,train_loss,val_accuracy,val_auc,val_f1,val_f1_macro,val_precision,val_sensitivity,val_specificity,val_loss,lr,duration_seconds
0,0.6215444803237915,0.6755263805389404,0.5361812114715576,0.6082758903503418,0.4611973464488983,0.6402814388275146,0.6118211150169373,0.6426687819453386,0.7212918400764465,0.7619184851646423,0.5273833870887756,0.6648791432380676,0.6132075190544128,0.4626334607601166,0.8522522449493408,0.6269141573991094,0.0001,32.99
1,0.6538461446762085,0.7250169515609741,0.5810909271240234,0.6430799961090088,0.4950433671474457,0.7033450603485107,0.6281934380531311,0.6120029937189359,0.7117224931716919,0.7741014957427979,0.5908319354057312,0.6841509342193604,0.5649350881576538,0.6192170977592468,0.7585585713386536,0.597059465944767,9.99938933078422e-05,33.3
2,0.6658653616905212,0.7418312430381775,0.5908756256103516,0.6542494297027588,0.5077458024024963,0.706555187702179,0.6447638869285583,0.5968468166314639,0.7153109908103943,0.7768843173980713,0.6098360419273376,0.692865252494812,0.5653495192527771,0.6619216799736023,0.7423423528671265,0.5904021923031125,9.997557473810371e-05,33.09
3,0.6642127633094788,0.7415617108345032,0.5951820611953735,0.6541563272476196,0.5055384635925293,0.7234698534011841,0.6335234045982361,0.5976644579607707,0.7045454382896423,0.7810906767845154,0.6047999858856201,0.6844439506530762,0.5494186282157898,0.6725978851318359,0.7207207083702087,0.5813814124890736,9.994504881061753e-05,31.6
4,0.668870210647583,0.7427597045898438,0.6068497896194458,0.6604194641113281,0.5108107924461365,0.747363805770874,0.6280822157859802,0.595063047340283,0.7165071964263916,0.785393238067627,0.6016806960105896,0.6908124685287476,0.5700637102127075,0.6370106935501099,0.7567567825317383,0.5793135613203049,9.990232305719945e-05,31.24
5,0.665114164352417,0.7520304322242737,0.5988842844963074,0.6557283997535706,0.506853461265564,0.7317501902580261,0.6305339932441711,0.5877502213876981,0.7260765433311462,0.7894585132598877,0.5843920111656189,0.6900550723075867,0.5962963104248047,0.5729537606239319,0.8036035895347595,0.5837698014719146,9.984740801978984e-05,31.33
6,0.6666165590286255,0.7525801658630371,0.5992414951324463,0.6569197773933411,0.5081163644790649,0.7301936745643616,0.6336678862571716,0.5852625421606578,0.7165071964263916,0.7890417575836182,0.6030150651931763,0.6912750005722046,0.5696202516555786,0.6405693888664246,0.7549549341201782,0.5747711009212902,9.978031724785246e-05,31.06
7,0.674879789352417,0.7551556825637817,0.6071169376373291,0.6649116277694702,0.5168470144271851,0.7355917096138,0.643394947052002,0.5830729847344068,0.7045454382896423,0.7892981767654419,0.5930806994438171,0.6805778741836548,0.5521472096443176,0.6405693888664246,0.7369369268417358,0.5770165952188628,9.97010672950314e-05,31.51
8,0.6687199473381042,0.758675217628479,0.6074417233467102,0.660446047782898,0.5101674795150757,0.7505499124526978,0.6262833476066589,0.5789684083026189,0.6854066848754883,0.790471613407135,0.6068759560585022,0.6723313331604004,0.5231958627700806,0.7224199175834656,0.6666666865348816,0.5650771089962551,9.960967771506666e-05,31.71
9,0.6714242696762085,0.7620995044708252,0.6074313521385193,0.6624548435211182,0.5130382180213928,0.7443906664848328,0.6335843205451965,0.5750229530609571,0.739234447479248,0.7946266531944275,0.5932835936546326,0.7006911039352417,0.6235294342041016,0.5658363103866577,0.8270270228385925,0.5855647942849568,9.950617105696959e-05,31.45
